file_path,file_name,filing_date,ticker,esg_score,esg_controversy_score,esgc_score,matched_score_date
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-May-15 - ADI.OQ - Analog Devices Inc - ESG - Social Pol - Executive Summary - cr17992904.txt,Filing Date - 2024-May-15 - ADI.OQ - Analog Devices Inc - ESG - Social Pol - Executive Summary - cr17992904.txt,2024-05-15,ADI.OQ,68.8453774403586,100.0,,2024-05-15
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Feb-26 - ADI.OQ - Analog Devices Inc - ESG - 2022 Esg Report - cr17680645.txt,Filing Date - 2024-Feb-26 - ADI.OQ - Analog Devices Inc - ESG - 2022 Esg Report - cr17680645.txt,2024-02-26,ADI.OQ,68.8453774403586,100.0,,2024-02-26
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2018-Feb-02 - ADI.OQ - Analog Devices Inc - ESG-Env Pol - — - cr06740769.txt,Filing Date - 2018-Feb-02 - ADI.OQ - Analog Devices Inc - ESG-Env Pol - — - cr06740769.txt,2018-02-02,ADI.OQ,69.8796945491776,100.0,,2018-02-02
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2020-May-07 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Training and Education - cr09294350.txt,Filing Date - 2020-May-07 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Training and Education - cr09294350.txt,2020-05-07,ADI.OQ,76.7453194593213,100.0,,2020-05-07
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2019-Nov-02 - ADI.OQ - Analog Devices Inc - ESG - CORPORATE RESPONSIBILITY REPORT - cr09313402.txt,Filing Date - 2019-Nov-02 - ADI.OQ - Analog Devices Inc - ESG - CORPORATE RESPONSIBILITY REPORT - cr09313402.txt,2019-11-02,ADI.OQ,,,,2019-11-01
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2023-May-29 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr15948970.txt,Filing Date - 2023-May-29 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr15948970.txt,2023-05-29,ADI.OQ,74.5445450965832,100.0,,2023-05-29
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2025-Jan-17 - ADI.OQ - Analog Devices Inc - Remuneration Committee - Compensation and Talent Committee Charter - cr19478926.txt,Filing Date - 2025-Jan-17 - ADI.OQ - Analog Devices Inc - Remuneration Committee - Compensation and Talent Committee Charter - cr19478926.txt,2025-01-17,ADI.OQ,70.1935632798829,100.0,,2024-12-31
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Jan-23 - ADI.OQ - Analog Devices Inc - Nomination Committee - Nominating And Corporate Governance Committee Char... - cr17574893.txt,Filing Date - 2024-Jan-23 - ADI.OQ - Analog Devices Inc - Nomination Committee - Nominating And Corporate Governance Committee Char... - cr17574893.txt,2024-01-23,ADI.OQ,68.8453774403586,100.0,,2024-01-23
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2025-Jan-17 - ADI.OQ - Analog Devices Inc - Nomination Committee - NCG Committee Charter - cr19478929.txt,Filing Date - 2025-Jan-17 - ADI.OQ - Analog Devices Inc - Nomination Committee - NCG Committee Charter - cr19478929.txt,2025-01-17,ADI.OQ,70.1935632798829,100.0,,2024-12-31
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Jul-13 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - Corporate Governance Report - cr11167505.txt,Filing Date - 2021-Jul-13 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - Corporate Governance Report - cr11167505.txt,2021-07-13,ADI.OQ,72.0820315281392,100.0,,2021-07-13
